0,Sesadfsd,129.132.201.143,sficoyjy8pvi,13:43:30,13:43:47
Round 9: [13:51:03,13:51:05],[-148.10868619009852,142.03010566409927],-1,true
7,Fuck,129.132.201.152,istytixwxko6r,13:43:30,13:44:27
Round 0: [13:49:47,13:49:49],[-43.21929384022951,132.27494169851505],-1,true
Round 1: [13:49:55,13:49:57],[-17.22755734808743,158.26667819065713],-1,true
Round 2: [13:50:06,13:50:08],[-8.495513498783112,166.99872203996145],-1,true
Round 3: [13:50:17,13:50:19],[42.2507878113538,-142.25497664990164],-1,true
Round 4: [13:50:28,13:50:30],[158.30159853212535,-26.204165929130113],-1,true
Round 5: [13:50:36,13:50:38],[104.07909072004259,-80.42667374121288],-1,true
Round 6: [13:50:44,13:50:46],[-111.4038160443306,64.09041949441396],-1,true
Round 7: [13:50:49,13:50:52],[125.23658978752792,-59.26917467372755],-1,true
Round 8: [13:50:58,13:51:00],[-25.444784285500646,150.04945125324392],-1,true
Round 9: [13:51:03,13:51:05],[-29.991465769708157,145.5027697690364],-1,true
8,457dhz,129.132.201.147,ujoedor49rudi,13:43:30,13:45:00
Round 0: [13:49:47,13:49:49],[-173.60957868397236,-153.47894391697434],-1,true
Round 1: [13:49:55,13:49:57],[-59.48149725794792,-39.3508624909499],-1,true
Round 2: [13:50:06,13:50:08],[-167.4017069209367,-147.2710721539387],-1,true
Round 3: [13:50:20,13:50:22],[-123.24864652007818,-103.11801175308017],-1,true
Round 4: [13:50:28,13:50:30],[97.99566867761314,118.12630344461115],-1,true
Round 5: [13:50:36,13:50:38],[108.85522822849452,128.98586299549254],-1,true
Round 6: [13:50:44,13:50:46],[54.3110166862607,74.44165145325871],-1,true
Round 7: [13:50:52,13:50:54],[-137.25765505805612,-117.1270202910581],-1,true
Round 8: [13:50:57,13:50:59],[8.954971292987466,29.085606059985487],-1,true
Round 9: [13:51:02,13:51:04],[-69.51445053331554,-49.38381576631752],-1,true
9,Asdf,129.132.201.149,eoyko666crf6r,13:43:30,13:44:22
Round 0: [13:49:46,13:49:48],[-178.1024711485952,-160.02680344362454],-1,true
Round 1: [13:49:57,13:49:59],[-93.18841519765556,-75.11274749268489],-1,true
Round 2: [13:50:05,13:50:07],[70.99675021134317,89.07241791631384],-1,true
Round 3: [13:50:19,13:50:21],[90.08498964831233,108.160657353283],-1,true
Round 4: [13:50:27,13:50:29],[-144.73667772486806,-126.66101001989739],-1,true
Round 5: [13:50:35,13:50:37],[-78.30464668571949,-60.22897898074882],-1,true
Round 6: [13:50:46,13:50:48],[35.18188445828855,53.25755216325922],-1,true
Round 7: [13:50:51,13:50:53],[-115.62617889605463,-97.55051119108396],-1,true
Round 8: [13:50:56,13:50:58],[-18.463683798909187,-0.38801609393851777],-1,true
Round 9: [13:51:04,13:51:06],[-58.88070674613118,-40.80503904116051],-1,true
10,Trudfh,129.132.201.157,329dbjgyi7ldi,13:43:30,13:45:22
Round 0: [13:49:47,13:49:49],[71.39705959707499,136.80943146860855],-1,true
Round 1: [13:49:55,13:49:57],[58.02322723902762,123.43559911056118],-1,true
Round 2: [13:50:03,13:50:05],[26.86683031730354,92.2792021888371],-1,true
Round 3: [13:50:17,13:50:19],[156.94720149971545,-137.640426628751],-1,true
Round 4: [13:50:25,13:50:27],[-53.97147190757096,11.440899963962607],-1,true
Round 5: [13:50:36,13:50:38],[112.28703578934073,177.6994076608743],-1,true
Round 6: [13:50:45,13:50:47],[-152.32164027169347,-86.9092684001599],-1,true
Round 7: [13:50:50,13:50:52],[-92.18678757548332,-26.774415703949757],-1,true
Round 8: [13:50:58,13:51:00],[11.80774038657546,77.22011225810903],-1,true
Round 9: [13:51:03,13:51:05],[98.12036566436291,163.53273753589647],-1,true
11,Werwe,129.132.201.156,m4gfpbb4vx6r,13:43:31,13:45:16
Round 0: [13:49:47,13:49:49],[38.583559077233076,40.117620350118415],-1,true
Round 1: [13:49:55,13:49:57],[105.95987889915705,107.49394017204239],-1,true
Round 2: [13:50:06,13:50:08],[-16.00706046447158,-14.472999191586238],-1,true
Round 3: [13:50:20,13:50:22],[-28.386037023738027,-26.851975750852684],-1,true
Round 4: [13:50:28,13:50:30],[103.67767550982535,105.21173678271069],-1,true
Round 5: [13:50:36,13:50:38],[-140.38444767706096,-138.85038640417562],-1,true
Round 6: [13:50:44,13:50:46],[98.26601397246122,99.80007524534656],-1,true
Round 7: [13:50:52,13:50:54],[116.6915482096374,118.22560948252274],-1,true
Round 8: [13:50:57,13:50:59],[145.93201682902873,147.46607810191406],-1,true
Round 9: [13:51:02,13:51:04],[-169.45401314646006,-167.91995187357472],-1,true
12,Asdasdasda,129.132.201.142,8pla4v2xirudi,13:43:31,13:43:57
Round 0: [13:49:47,13:49:49],[173.97509520873427,-113.1234798147945],-1,true
Round 1: [13:49:55,13:49:57],[78.40436786413193,151.30579284060315],-1,true
Round 2: [13:50:06,13:50:08],[-97.21663582138717,-24.31521084491594],-1,true
Round 3: [13:50:20,13:50:22],[31.562030408531427,104.46345538500266],-1,true
Round 4: [13:50:28,13:50:30],[21.121756872162223,94.02318184863346],-1,true
Round 5: [13:50:36,13:50:38],[-159.63513208553195,-86.73370710906072],-1,true
Round 6: [13:50:44,13:50:46],[16.81054065003991,89.71196562651114],-1,true
Round 7: [13:50:52,13:50:54],[32.20269933342934,105.10412430990057],-1,true
Round 8: [13:50:57,13:50:59],[76.20476628653705,149.10619126300827],-1,true
Round 9: [13:51:02,13:51:04],[107.89636800996959,-179.2022070135592],-1,true
13,Asdasdas,129.132.201.141,s7x1p27nl8fr,13:43:31,13:44:07
Round 0: [13:49:47,13:49:49],[146.78354158066213,167.5758645790305],-1,true
Round 1: [13:49:55,13:49:57],[97.72178169339895,118.51410469176733],-1,true
Round 2: [13:50:06,13:50:08],[4.571842784062028,25.364165782430405],-1,true
Round 3: [13:50:20,13:50:22],[-50.36840085871518,-29.5760778603468],-1,true
Round 4: [13:50:28,13:50:30],[-97.3111666738987,-76.51884367553032],-1,true
Round 5: [13:50:36,13:50:38],[-170.37736661732197,-149.5850436189536],-1,true
Round 6: [13:50:44,13:50:46],[-27.34367586672306,-6.551352868354684],-1,true
Round 7: [13:50:52,13:50:54],[127.48337217606604,148.27569517443442],-1,true
Round 8: [13:50:57,13:50:59],[121.08522324822843,141.8775462465968],-1,true
Round 9: [13:51:02,13:51:04],[-109.36961053870618,-88.5772875403378],-1,true
14,Fuck4,129.132.201.158,lm4cdjdnm6lxr,13:43:31,13:45:05
Round 0: [13:49:48,13:49:50],[-15.803074529394507,146.5596145760352],-1,true
Round 1: [13:49:56,13:49:58],[89.43593898788095,-108.20137190668936],-1,true
Round 2: [13:50:04,13:50:06],[90.76632765121758,-106.87098324335273],-1,true
Round 3: [13:50:18,13:50:20],[167.48019070364535,-30.157120190924957],-1,true
Round 4: [13:50:26,13:50:28],[-164.04326875694096,-1.680579651511266],-1,true
Round 5: [13:50:34,13:50:36],[154.0921406261623,-43.545170268408015],-1,true
Round 6: [13:50:45,13:50:47],[-2.669679746031761,159.69300935939793],-1,true
Round 7: [13:50:50,13:50:52],[79.75557994097471,-117.88173095359559],-1,true
Round 8: [13:50:58,13:51:00],[-168.34506480954587,-5.98237570411618],-1,true
Round 9: [13:51:03,13:51:05],[90.0400872901082,-107.5972236044621],-1,true
15,Fuck6,129.132.201.159,l6xhqw2onu3di,13:43:31,13:45:16
Round 0: [13:49:45,13:49:47],[-37.007825234904885,149.61168338699565],-1,true
Round 1: [13:49:56,13:49:58],[43.77733605913818,-129.60315531896129],-1,true
Round 2: [13:50:04,13:50:06],[125.61909290961921,-47.76139846848025],-1,true
Round 3: [13:50:18,13:50:20],[-46.749326242133975,139.87018237976656],-1,true
Round 4: [13:50:26,13:50:28],[129.33610847219825,-44.044382905901216],-1,true
Round 5: [13:50:34,13:50:36],[-131.9558269623667,54.663681659533836],-1,true
Round 6: [13:50:45,13:50:47],[19.50243185274303,-153.87805952535643],-1,true
Round 7: [13:50:50,13:50:52],[105.20459021441638,-68.17590116368308],-1,true
Round 8: [13:50:58,13:51:00],[91.43606023862958,-81.94443113946988],-1,true
Round 9: [13:51:03,13:51:05],[161.40597333200276,-11.974518046096705],-1,true
16,Asd,129.132.201.154,so9l6y6fajor,13:43:31,13:44:49
Round 0: [13:49:46,13:49:48],[-70.10164191015065,-68.36492304345161],-1,true
Round 1: [13:49:58,13:50:00],[100.89744835160673,102.63416721830576],-1,true
Round 2: [13:50:06,13:50:08],[26.857616091147065,28.594334957846097],-1,true
Round 3: [13:50:20,13:50:22],[93.60615776851773,95.34287663521677],-1,true
Round 4: [13:50:28,13:50:30],[154.5381879620254,156.27490682872443],-1,true
Round 5: [13:50:36,13:50:38],[-80.30540864914656,-78.56868978244752],-1,true
Round 6: [13:50:44,13:50:46],[-108.64148718304932,-106.90476831635029],-1,true
Round 7: [13:50:52,13:50:54],[29.111403487622738,30.84812235432177],-1,true
Round 8: [13:50:57,13:50:59],[49.20448022894561,50.94119909564464],-1,true
Round 9: [13:51:02,13:51:04],[6.30278910510242,8.039507971801452],-1,true
17,Sfsd,129.132.201.145,4ojnqrq8pk3xr,13:43:31,13:44:06
Round 0: [13:49:46,13:49:48],[74.74997249431908,-82.94803027596069],-1,true
Round 1: [13:49:57,13:49:59],[154.45863598957658,-3.239366780703193],-1,true
Round 2: [13:50:05,13:50:07],[24.432240491732955,-133.26576227854682],-1,true
Round 3: [13:50:19,13:50:21],[172.66178785823286,14.963785087953084],-1,true
Round 4: [13:50:27,13:50:29],[-56.86724703758955,145.43475019213068],-1,true
Round 5: [13:50:35,13:50:37],[-21.03124908171594,-178.7292518519957],-1,true
Round 6: [13:50:43,13:50:45],[-93.27550174668431,109.02649548303592],-1,true
Round 7: [13:50:51,13:50:53],[99.3177585862577,-58.380244184022075],-1,true
Round 8: [13:50:56,13:50:58],[37.400305001065135,-120.29769776921464],-1,true
Round 9: [13:51:04,13:51:06],[-43.41065880842507,158.89133842129516],-1,true
18,Qwerwe,129.132.201.155,868lspn1att9,13:43:31,13:45:02
Round 0: [13:49:48,13:49:50],[23.510852828621864,89.43916454080569],-1,true
Round 1: [13:49:56,13:49:58],[-56.748833544552326,9.179478167631501],-1,true
Round 2: [13:50:04,13:50:06],[170.01955507323146,-124.05213321458473],-1,true
Round 3: [13:50:18,13:50:20],[63.69476088322699,129.6230725954108],-1,true
Round 4: [13:50:26,13:50:28],[113.56859827414155,179.49690998632536],-1,true
Round 5: [13:50:34,13:50:36],[-72.88719962351024,-6.958887911326414],-1,true
Round 6: [13:50:45,13:50:47],[28.330876976251602,94.25918868843543],-1,true
Round 7: [13:50:50,13:50:52],[-79.01248784735799,-13.084176135174161],-1,true
Round 8: [13:50:58,13:51:00],[-114.56999790854752,-48.64168619636369],-1,true
Round 9: [13:51:03,13:51:05],[-142.72112471982837,-76.79281300764454],-1,true
19,Fuck7,129.132.201.160,5kyd7s2nsif6r,13:43:31,13:45:27
Round 0: [13:49:45,13:49:47],[74.44025807082653,147.79171992256343],-1,true
Round 1: [13:49:56,13:49:58],[-31.465249517932534,41.886212333804366],-1,true
Round 2: [13:50:04,13:50:06],[52.920917607843876,126.27237945958078],-1,true
Round 3: [13:50:18,13:50:20],[-11.673126351088285,61.678335500648615],-1,true
Round 4: [13:50:26,13:50:28],[-20.95171974040568,52.39974211133122],-1,true
Round 5: [13:50:34,13:50:36],[-165.57948905043304,-92.22802719869614],-1,true
Round 6: [13:50:45,13:50:47],[-108.24524109251797,-34.89377924078107],-1,true
Round 7: [13:50:50,13:50:52],[-151.91066742874682,-78.55920557700992],-1,true
Round 8: [13:50:58,13:51:00],[90.60610841028392,163.95757026202082],-1,true
Round 9: [13:51:03,13:51:05],[153.23259523138404,-133.41594291687906],-1,true
