0,Cs,129.132.201.150,m0vb4v5yfzuxr,15:00:46,15:01:05
7,Robin,129.132.201.158,09kxqay6kzkt9,15:00:46,15:01:00
Round 0: [15:35:39,15:35:47],[-20.293893869212763,-13.073794681288271],-1,false
Round 1: [15:36:11,15:36:14],[-1.658082405199222,5.562016782725269],-1,false
Round 2: [15:36:41,15:36:46],[-11.237377903690437,-4.017278715765945],-1,false
Round 3: [15:37:04,15:37:09],[-8.813009419014259,-1.5929102310897676],-1,false
Round 4: [15:37:27,15:37:35],[-8.66490431573179,-1.4448051278072995],-1,false
Round 5: [15:37:56,15:38:02],[-8.515750975469876,-1.2956517875453848],-1,false
Round 6: [15:38:14,15:38:18],[-6.449704028646336,0.7703951592781557],-1,false
Round 7: [15:38:49,15:38:54],[-5.610509773817001,1.6095894141074902],-1,false
Round 8: [15:39:12,15:39:23],[-6.245793877822901,0.9743053101015899],-1,false
Round 9: [15:39:35,15:39:39],[-7.786165513199652,-0.5660663252751608],-1,false
8,Jono,129.132.201.141,14hpm2tfenrk9,15:00:47,15:02:23
Round 0: [15:35:39,15:35:46],[-89.24004838505597,-18.37235906032248],-1,false
Round 1: [15:36:10,15:36:14],[-72.26875902812597,-1.40106970339248],-1,false
Round 2: [15:36:41,15:36:49],[-66.97860054121367,3.8890887835198242],-1,false
Round 3: [15:37:04,15:37:07],[-70.49530643771278,0.37238288702070577],-1,false
Round 4: [15:37:28,15:37:31],[-72.38302344646047,-1.5153341217269798],-1,false
Round 5: [15:37:55,15:38:05],[-77.3824298286389,-6.514740503905415],-1,false
Round 6: [15:38:11,15:38:25],[-57.666029147536705,13.201660177196786],-1,false
Round 7: [15:38:46,15:38:48],[-92.61882279067109,-21.7511334659376],-1,false
Round 8: [15:39:12,15:39:29],[-74.5641847641177,-3.6964954393842078],-1,false
Round 9: [15:39:35,15:39:50],[-66.03160315661162,4.8360861681218665],-1,false
9,Foo,129.132.201.143,937n0qekzw7b9,15:00:47,15:01:20
Round 0: [15:35:37,15:35:40],[-32.527906399391796,46.538261215466065],-1,false
Round 1: [15:36:10,15:36:16],[54.403714761713346,133.4698823765712],-1,false
Round 2: [15:36:40,15:36:44],[-125.54708178905484,-46.48091417419698],-1,false
Round 3: [15:37:02,15:37:06],[12.08729705802505,91.1534646728829],-1,false
Round 4: [15:37:27,15:37:29],[-58.19507411961583,20.87109349524203],-1,false
Round 5: [15:37:56,15:38:07],[-29.404709939789804,49.66145767506806],-1,false
Round 6: [15:38:13,15:38:16],[-66.45776530976829,12.60840230508957],-1,false
Round 7: [15:38:46,15:38:56],[-58.10226085700526,20.963906757852598],-1,false
Round 8: [15:39:11,15:39:19],[-38.89068857898389,40.17547903587397],-1,false
Round 9: [15:39:34,15:39:38],[-69.09203498200235,9.974132632855515],-1,false
10,Babs,129.132.201.145,0epjefwxko6r,15:00:47,15:01:08
Round 0: [15:35:37,15:35:41],[-117.16841031973333,85.1224525632133],-1,false
Round 1: [15:36:08,15:36:13],[-157.97414853658717,44.316714346359504],-1,false
Round 2: [15:36:40,15:36:44],[168.32527427855416,10.616137161500802],-1,false
Round 3: [15:37:02,15:37:05],[143.2694273826489,-14.43970973440446],-1,false
Round 4: [15:37:26,15:37:28],[154.3242142877226,-3.3849228293307476],-1,false
Round 5: [15:37:55,15:37:59],[159.92633308504898,2.2171959679956217],-1,false
Round 6: [15:38:14,15:38:18],[166.82986101869227,9.120723901638911],-1,false
Round 7: [15:38:48,15:38:54],[157.79316520194374,0.08402808489037739],-1,false
Round 8: [15:39:12,15:39:19],[157.79316520194374,0.08402808489037739],-1,false
Round 9: [15:39:34,15:39:46],[157.99065175707025,0.2815146400168942],-1,false
11,Cornelia Burri,129.132.201.151,w53vwhp6kzkt9,15:00:47,15:03:28
Round 0: [15:35:37,15:35:41],[35.907662024503885,-5.712029917306147],-1,false
Round 1: [15:36:08,15:36:15],[23.39413719458587,-18.225554747224162],-1,false
